DateOfPublication,ISBN,Categoryid,Author,BorrowDate,ReturnDate,StudentName,StudentAddress,Age,DateOfBirth
8/3/1980,12361425,History,Rogan Erickson,11/5/2015,12/29/2015,Whitney Callahan,"P.O. Box 731, 4460 Facilisis Rd.",36,5/10/2016
8/3/1980,12361425,History,Rogan Erickson,9/19/2015,11/25/2015,Cheryl Herrera,488-4497 Ante Ave,46,7/24/2015
8/3/1980,12361425,History,Rogan Erickson,10/23/2015,12/12/2015,Melanie Sloan,"P.O. Box 152, 396 Rutrum, Ave",22,4/18/2016
4/25/1959,13374357,Mystery,Gwendolyn Cobb,9/10/2015,12/3/2015,Cruz Parks,"P.O. Box 268, 5051 Mus. Ave",38,7/17/2016
10/16/1970,13645248,Mystery,Hope Huffman,,,,,,
8/14/1973,15737997,Fiction,,,,,,,
6/3/1980,17561542,Romance,Aidan Lee,10/9/2015,12/29/2015,Zeus Owen,850-9861 Dapibus St.,24,10/2/2016
6/3/1980,17561542,Romance,Aidan Lee,9/19/2015,12/16/2015,Zeus Owen,850-9861 Dapibus St.,24,10/2/2016
6/3/1980,17561542,Romance,Aidan Lee,10/16/2015,12/27/2015,Jason Holden,7293 Sollicitudin Rd.,40,6/7/2016
7/11/1978,17628267,Biography,Scarlet Bradley,10/19/2015,12/23/2015,Dean Mcclure,"958-7144 Et, Ave",41,9/30/2015
7/11/1978,17628267,Biography,Scarlet Bradley,9/3/2015,12/9/2015,Stuart Farmer,"P.O. Box 745, 4685 Risus. Rd.",32,5/1/2016
4/2/1995,18420639,Romance,Tara Davenport,10/4/2015,12/9/2015,Zeus Owen,850-9861 Dapibus St.,24,10/2/2016
7/6/1989,18631558,Fiction,Buffy Diaz,10/6/2015,12/29/2015,Pearl Lindsey,701-9171 Pharetra. Rd.,53,12/28/2014
7/6/1989,18631558,Fiction,Buffy Diaz,11/9/2015,12/21/2015,Vivien Higgins,1529 Euismod St.,56,12/15/2015
8/17/1971,19035962,History,Yasir Hunt,,,,,,
5/4/1988,19398531,Romance,Stewart Sims,10/21/2015,11/24/2015,Neve Alvarado,Ap #502-5762 Sed Ave,37,10/6/2015
1/24/1961,20647775,Art,Rogan Hammond,,,,,,
7/30/2021,21207854,Biography,Jemima Obrien,10/26/2015,12/10/2015,Cruz Parks,"P.O. Box 268, 5051 Mus. Ave",38,7/17/2016
7/30/2021,21207854,Biography,Jemima Obrien,10/16/2015,12/9/2015,Flynn Blankenship,"P.O. Box 260, 7121 Vel Street",42,4/8/2015
7/30/2021,21207854,Biography,Jemima Obrien,9/22/2015,11/25/2015,Jessamine Mullen,938-9032 Pretium St.,44,9/8/2015
9/10/1950,21900466,Fiction,Yvette Turner,11/7/2015,12/24/2015,Stuart Farmer,"P.O. Box 745, 4685 Risus. Rd.",32,5/1/2016
9/10/1950,21900466,Fiction,Yvette Turner,10/6/2015,11/29/2015,Karen Hinton,894-3382 Per St.,28,10/27/2015
8/16/2008,22789419,History,India Reed,,,,,,
8/10/1996,22956586,Romance,Galena Larsen,10/15/2015,11/24/2015,Oren Osborne,"P.O. Box 210, 5701 Risus. Road",34,3/2/2015
10/27/1956,24195299,Romance,Quintessa Holcomb,9/12/2015,12/26/2015,Amity Macias,Ap #952-3997 Nisi Av.,59,11/24/2015
5/29/1997,24268447,Fiction,Lamar Parks,9/17/2015,12/18/2015,Dustin Austin,1504 Et St.,23,12/20/2015
7/15/1998,24405786,Biography,Galena Larsen,9/13/2015,11/29/2015,Rafael Crosby,9044 Sociosqu St.,60,9/1/2016
10/23/2047,24592724,Biography,Rana Cobb,10/22/2015,12/29/2015,Sybill Gordon,"P.O. Box 471, 6461 Libero Ave",27,1/24/2015
10/23/2047,24592724,Biography,Rana Cobb,9/2/2015,12/11/2015,Miranda Beach,459-5882 Tempor Street,56,12/9/2014
10/14/2009,24910991,Mystery,Kirby Patel,10/12/2015,12/6/2015,Freya Dennis,Ap #299-489 Sem Ave,32,11/20/2015
5/4/2003,25378803,Biography,Haley Sharp,,,,,,
3/4/2035,25800724,History,Boris Porter,,,,,,
7/4/2047,27526090,Fiction,Xander Blanchard,11/5/2015,12/5/2015,Maxine Madden,"P.O. Box 677, 5740 Mauris Street",26,3/21/2016
4/20/1978,28679037,Mystery,Gay Rios,10/3/2015,12/24/2015,Oleg Mckee,"P.O. Box 322, 6381 Consequat St.",42,1/26/2016
4/20/1978,28679037,Mystery,Gay Rios,9/27/2015,12/1/2015,Guinevere Ward,Ap #483-5583 Hendrerit St.,52,7/27/2015
4/20/1978,28679037,Mystery,Gay Rios,9/4/2015,12/9/2015,Seth Melton,846-9830 Dictum Rd.,40,1/21/2016
4/20/1978,28679037,Mystery,Gay Rios,10/17/2015,11/22/2015,Joel Ashley,"P.O. Box 107, 9241 Vitae, Rd.",40,2/7/2015
3/16/1978,30423606,Mystery,Rose Owens,,,,,,
8/19/2048,30866014,Biography,Alisa Manning,9/18/2015,11/16/2015,Rafael Thomas,"P.O. Box 390, 1763 Dui Street",36,2/12/2015
1/4/2013,31975142,Romance,Rana Cobb,10/24/2015,12/27/2015,Kevin Gibson,2105 Mus. St.,28,10/5/2015
1/4/2013,31975142,Romance,Rana Cobb,9/29/2015,12/16/2015,Cadman Black,Ap #380-6955 Velit Ave,49,7/9/2016
1/4/2013,31975142,Romance,Rana Cobb,9/1/2015,12/20/2015,Rebecca Reynolds,Ap #671-1612 Egestas Rd.,32,5/23/2015
1/4/2013,31975142,Romance,Rana Cobb,10/20/2015,11/25/2015,Lisandra Whitfield,Ap #657-4526 Libero St.,23,5/7/2016
10/13/1973,32003656,Fiction,Gay Rios,,,,,,
5/15/1975,32310630,Art,Xander Blanchard,9/22/2015,12/30/2015,Amity Macias,Ap #952-3997 Nisi Av.,59,11/24/2015
6/6/2002,33431587,Biography,Gareth Woodward,11/8/2015,12/13/2015,James Garner,"P.O. Box 418, 6089 Nec Av.",52,4/3/2016
3/22/1985,34214461,Fiction,Kibo Morgan,,,,,,
4/12/1973,34416481,Mystery,Paula Armstrong,,,,,,
8/24/2042,35041120,Mystery,Stone Knox,9/5/2015,12/15/2015,Jameson Bradshaw,854-9956 Suspendisse Avenue,24,3/5/2015
8/24/2042,35041120,Mystery,Stone Knox,11/6/2015,12/6/2015,Zelenia Evans,9218 Cras St.,23,4/18/2016
9/29/2041,35285589,Biography,,11/6/2015,12/14/2015,Jeremy Mckay,Ap #650-631 Libero St.,32,5/22/2016
9/29/2041,35285589,Biography,,10/28/2015,11/19/2015,Joel Ashley,"P.O. Box 107, 9241 Vitae, Rd.",40,2/7/2015
3/3/2023,35783361,Fiction,Alyssa Klein,,,,,,
3/13/1958,35929863,Fiction,Rogan Hammond,,,,,,
3/25/1976,40529835,Fiction,Sydnee Farrell,,,,,,
11/11/1954,41284955,Biography,,9/13/2015,11/20/2015,Keegan Walters,"7299 Elit, Rd.",22,6/28/2016
11/11/1954,41284955,Biography,,11/1/2015,12/14/2015,Donna Baxter,176-8177 Cras Rd.,39,6/2/2016
5/23/2025,42631905,History,Stone Knox,10/27/2015,12/18/2015,Jessamine Mullen,938-9032 Pretium St.,44,9/8/2015
7/29/1984,44305494,History,Paula Armstrong,,,,,,
5/7/1981,44672303,Art,Caleb Mcintosh,9/10/2015,11/16/2015,Cheryl Herrera,488-4497 Ante Ave,46,7/24/2015
5/7/1981,44672303,Art,Caleb Mcintosh,10/14/2015,12/21/2015,Chloe Walker,Ap #645-2240 Bibendum St.,48,2/5/2016
9/5/2004,45355646,Romance,Steel Ewing,11/4/2015,12/17/2015,Chester Mercer,6862 Mollis St.,32,5/22/2015
10/18/2008,45533018,History,Gareth Woodward,,,,,,
10/29/1994,46057193,Biography,Stone Knox,10/27/2015,12/28/2015,Xavier Walters,540-2793 Euismod St.,44,5/4/2016
10/29/1994,46057193,Biography,Stone Knox,11/8/2015,11/23/2015,Jeremy Mckay,Ap #650-631 Libero St.,32,5/22/2016
8/9/1987,46670700,Fiction,Linda Cummings,9/7/2015,12/29/2015,Octavius Figueroa,6815 Tincidunt St.,23,8/13/2015
3/8/2032,48174753,Romance,Tana Evans,10/2/2015,12/1/2015,Vance Cummings,Ap #134-4635 Risus St.,44,11/21/2015
3/8/2032,48174753,Romance,Tana Evans,9/21/2015,12/30/2015,Ira Hinton,108-2541 Duis Rd.,44,4/8/2015
3/8/2032,48174753,Romance,Tana Evans,9/13/2015,12/24/2015,Oren Osborne,"P.O. Box 210, 5701 Risus. Road",34,3/2/2015
7/6/1967,49474371,Fiction,Iola Sharp,,,,,,
1/23/1956,50897582,Mystery,Gay Rios,10/16/2015,11/16/2015,Freya Dennis,Ap #299-489 Sem Ave,32,11/20/2015
1/5/2033,51104465,Mystery,Carol Becker,9/1/2015,12/23/2015,Freya Dennis,Ap #299-489 Sem Ave,32,11/20/2015
1/5/2033,51104465,Mystery,Carol Becker,11/5/2015,12/24/2015,Tatiana Watson,859-2522 Morbi Av.,56,7/30/2015
1/15/2038,52145095,Romance,Sylvia Caldwell,,,,,,
7/28/2005,52198557,Fiction,Sawyer Mcfarland,9/29/2015,11/21/2015,Lane Barry,"P.O. Box 931, 4463 Ligula. Ave",36,2/1/2015
7/28/2005,52198557,Fiction,Sawyer Mcfarland,9/15/2015,12/26/2015,Karen Hinton,894-3382 Per St.,28,10/27/2015
11/19/1987,52699878,History,Kirby Patel,10/13/2015,12/25/2015,Keegan Walters,"7299 Elit, Rd.",22,6/28/2016
5/29/1993,54550538,History,Marah Rice,10/25/2015,12/19/2015,Charles Foster,"P.O. Box 942, 392 Semper St.",55,7/28/2015
11/29/2010,56111995,Biography,Signe Cooley,10/2/2015,12/25/2015,Burton Roberts,689-3111 Convallis Ave,46,3/30/2015
11/29/2010,56111995,Biography,Signe Cooley,9/1/2015,12/30/2015,Lane Barry,"P.O. Box 931, 4463 Ligula. Ave",36,2/1/2015
9/13/1956,56453533,Biography,Stone Knox,9/29/2015,11/25/2015,Lisandra Whitfield,Ap #657-4526 Libero St.,23,5/7/2016
9/13/1956,56453533,Biography,Stone Knox,10/23/2015,11/22/2015,Kevin Gibson,2105 Mus. St.,28,10/5/2015
9/13/1956,56453533,Biography,Stone Knox,9/10/2015,12/16/2015,Reece Frank,580-8402 Pede Road,43,9/3/2016
11/18/1990,56911492,History,Rose Owens,9/3/2015,12/18/2015,Vance Cummings,Ap #134-4635 Risus St.,44,11/21/2015
3/7/2047,56938960,History,Finn Kerr,9/23/2015,12/6/2015,Maxine Madden,"P.O. Box 677, 5740 Mauris Street",26,3/21/2016
5/29/1955,58625122,Mystery,Cole Hale,10/17/2015,11/29/2015,Quincy Sloan,5624 At Rd.,55,11/26/2014
11/16/2003,58717600,Romance,Boris Porter,10/29/2015,12/18/2015,Cassidy Wilson,476-9100 Feugiat Ave,54,10/5/2015
4/15/2013,59144450,Fiction,Darius Cherry,9/28/2015,11/25/2015,Oleg Mckee,"P.O. Box 322, 6381 Consequat St.",42,1/26/2016
4/15/2013,59144450,Fiction,Darius Cherry,10/20/2015,12/10/2015,Kevin Gibson,2105 Mus. St.,28,10/5/2015
1/12/2021,59715125,Mystery,Hall Maynard,,,,,,
1/30/1994,60153535,Romance,Tana Evans,,,,,,
11/4/2022,60267467,Art,Anjolie Barker,10/10/2015,11/25/2015,Cadman Black,Ap #380-6955 Velit Ave,49,7/9/2016
11/4/2022,60267467,Art,Anjolie Barker,11/11/2015,11/18/2015,Lucian Cote,"P.O. Box 885, 9594 Neque. Ave",52,12/26/2014
2/28/2004,60327282,Mystery,Cally Ayala,,,,,,
2/11/1961,60683465,History,Cynthia Rowland,,,,,,
12/26/1979,60916342,History,Rhoda Blankenship,,,,,,
10/22/2015,61296783,Art,Darius Cherry,9/1/2015,12/9/2015,Lisandra Whitfield,Ap #657-4526 Libero St.,23,5/7/2016
10/22/2015,61296783,Art,Darius Cherry,10/23/2015,12/25/2015,Hayden Copeland,9446 Ultrices. Av.,35,3/3/2016
4/8/2001,61614987,Romance,Alyssa Klein,10/10/2015,12/29/2015,Chelsea Hayden,"P.O. Box 386, 6939 Et St.",41,1/27/2016
2/17/1955,62447026,History,Tara Davenport,10/19/2015,12/17/2015,Jason Holden,7293 Sollicitudin Rd.,40,6/7/2016
2/17/1955,62447026,History,Tara Davenport,9/15/2015,12/5/2015,Leah Valdez,"P.O. Box 661, 6335 Dis Ave",56,6/3/2015
6/9/1973,62728959,Biography,Shannon Powell,11/2/2015,11/24/2015,Blaine Ross,964-5030 Ornare. St.,26,1/9/2016
6/9/1973,62728959,Biography,Shannon Powell,9/3/2015,11/22/2015,Amity Macias,Ap #952-3997 Nisi Av.,59,11/24/2015
5/23/2043,63700915,History,Xenos Alston,,,,,,
10/30/1960,64156523,History,,10/23/2015,11/28/2015,Indigo Hunter,415-6788 Aliquam Avenue,39,8/19/2015
1/13/1999,65142426,Biography,Bert Farmer,,,,,,
12/15/2047,65679966,History,Basia Walls,,,,,,
5/26/2014,65789690,Biography,Ursula Walters,,,,,,
4/18/1995,65865675,Biography,,,,,,,
3/22/2007,65945337,Biography,Ina Clements,,,,,,
6/12/1997,66297133,Biography,Wallace Rowe,10/2/2015,12/7/2015,Edan Gay,2779 Dolor St.,35,12/18/2015
6/12/1997,66297133,Biography,Wallace Rowe,9/2/2015,12/26/2015,Karen Hinton,894-3382 Per St.,28,10/27/2015
6/12/1997,66297133,Biography,Wallace Rowe,9/14/2015,12/5/2015,Leah Valdez,"P.O. Box 661, 6335 Dis Ave",56,6/3/2015
12/13/1989,66674946,Biography,Shoshana Greer,10/30/2015,12/2/2015,Hayden Copeland,9446 Ultrices. Av.,35,3/3/2016
8/13/2031,68181763,Art,Dustin Tyler,10/19/2015,11/23/2015,Kevin Gibson,2105 Mus. St.,28,10/5/2015
7/31/1956,71433490,Biography,Xander Blanchard,9/1/2015,12/2/2015,Cruz Parks,"P.O. Box 268, 5051 Mus. Ave",38,7/17/2016
9/12/2044,71440989,Fiction,Marah Rice,9/19/2015,12/3/2015,Freya Dennis,Ap #299-489 Sem Ave,32,11/20/2015
9/12/2044,71440989,Fiction,Marah Rice,11/4/2015,12/5/2015,Ira Hinton,108-2541 Duis Rd.,44,4/8/2015
7/17/1959,71446081,Art,Steel Ewing,9/20/2015,12/10/2015,Cheryl Herrera,488-4497 Ante Ave,46,7/24/2015
3/15/1985,72008786,Mystery,Carol Becker,,,,,,
10/22/1969,73371327,Mystery,Gabriel Grant,,,,,,
8/31/1975,73429020,History,Hope Huffman,10/13/2015,11/25/2015,Xavier Walters,540-2793 Euismod St.,44,5/4/2016
11/17/2015,73495325,Romance,Kirby Patel,10/29/2015,12/13/2015,Iola Harrison,"P.O. Box 614, 8310 Mauris, Rd.",38,8/8/2016
11/17/2015,73495325,Romance,Kirby Patel,11/5/2015,12/5/2015,Evan Dillon,923-9733 am Rd.,37,10/2/2015
12/14/1957,74504114,Art,Drew Kirkland,,,,,,
6/13/2025,75067445,History,Quintessa Holcomb,10/30/2015,12/26/2015,Shafira Noel,"P.O. Box 466, 7575 Natoque Av.",34,4/4/2016
6/13/2025,75067445,History,Quintessa Holcomb,11/2/2015,11/27/2015,Jessamine Mullen,938-9032 Pretium St.,44,9/8/2015
5/21/1992,75322074,Fiction,Doris Witt,,,,,,
4/1/1997,75387660,Art,Linda Cummings,,,,,,
1/30/1988,79742833,History,Tana Evans,10/1/2015,12/19/2015,Zelenia Evans,9218 Cras St.,23,4/18/2016
8/5/2041,81882837,Mystery,Nicole Castro,10/18/2015,12/3/2015,Karen Hinton,894-3382 Per St.,28,10/27/2015
12/28/1981,82905527,Art,Kibo Morgan,,,,,,
9/29/2028,83576283,History,Doris Witt,10/30/2015,12/17/2015,Amity Macias,Ap #952-3997 Nisi Av.,59,11/24/2015
9/14/2009,84169469,Romance,,,,,,,
10/21/1955,87126732,Art,Tana Evans,,,,,,
4/9/2010,88331525,Fiction,Caesar Ramirez,,,,,,
1/20/1980,89550175,Mystery,Maite Leblanc,,,,,,
8/11/1998,89951788,Art,Steel Ewing,9/7/2015,11/16/2015,Stuart Farmer,"P.O. Box 745, 4685 Risus. Rd.",32,5/1/2016
8/11/1998,89951788,Art,Steel Ewing,10/7/2015,12/19/2015,Kiara Mathis,Ap #727-7861 Hendrerit. Avenue,42,10/20/2015
